2022-09-22 18:05:57,441 This is my addition function
2022-09-22 18:05:57,442 2
2022-09-22 18:05:57,442 3
2022-09-22 18:05:57,442 78
2022-09-22 18:05:57,442 5
2022-09-22 18:05:57,442 43
2022-09-22 18:05:57,442 8
2022-09-22 18:06:06,278 This is my addition function
2022-09-22 18:06:06,278 2
2022-09-22 18:06:06,280 3
2022-09-22 18:06:06,280 78
2022-09-22 18:06:06,280 5
2022-09-22 18:06:06,280 43
2022-09-22 18:06:06,280 8
2022-09-22 18:06:14,943 This is my addition function
2022-09-22 18:06:14,944 2
2022-09-22 18:06:14,944 3
2022-09-22 18:06:14,944 78
2022-09-22 18:06:14,944 5
2022-09-22 18:06:14,944 43
2022-09-22 18:06:14,944 8
2022-09-22 18:06:24,578 This is my addition function
2022-09-22 18:06:24,578 2
2022-09-22 18:06:24,579 3
2022-09-22 18:06:24,579 78
2022-09-22 18:06:24,579 5
2022-09-22 18:06:24,579 43
2022-09-22 18:06:24,579 8
2022-09-22 18:08:04,547 This is my addition function
2022-09-22 18:08:04,547 2
2022-09-22 18:08:04,547 3
2022-09-22 18:08:04,547 78
2022-09-22 18:08:04,547 5
2022-09-22 18:08:04,547 43
2022-09-22 18:08:04,547 8
2022-09-22 18:08:15,692 This is my addition function
2022-09-22 18:08:15,692 2
2022-09-22 18:08:15,692 3
2022-09-22 18:08:15,692 78
2022-09-22 18:08:15,693 5
2022-09-22 18:08:15,693 43
2022-09-22 18:08:15,693 8
2022-09-22 18:10:51,770 This is my addition function
2022-09-22 18:10:51,770 2
2022-09-22 18:10:51,770 3
2022-09-22 18:10:51,770 78
2022-09-22 18:10:51,770 5
2022-09-22 18:10:51,770 43
2022-09-22 18:10:51,770 8
2022-09-22 18:10:54,925 This is my addition function
2022-09-22 18:10:54,925 2
2022-09-22 18:10:54,925 3
2022-09-22 18:10:54,925 78
2022-09-22 18:10:54,925 5
2022-09-22 18:10:54,925 43
2022-09-22 18:10:54,925 8
2022-09-22 18:11:03,986 This is my first code for log
2022-09-22 18:11:07,027 This is info for logger one
2022-09-22 18:11:07,028 This is info for logger two
2022-09-22 18:11:08,387 This is my first code for log
2022-09-22 18:11:08,389 This is info for logger one
2022-09-22 18:11:08,390 This is info for logger two
